"","geo","year","value","curr"
"503","fr",2005,1.11916,"EUR"
"504","hr",2005,4.99889,"HRK"
"505","hu",2005,159.889,"HUF"
"506","ie",2005,1.23548,"EUR"
"507","is",2005,117.039,"ISK"
"508","it",2005,1.04428,"EUR"
"509","jp",2005,158.206,"JPY"
"510","lt",2005,0.531411,"EUR"
"511","lu",2005,1.15568,"EUR"
"512","lv",2005,0.5356,"EUR"
"513","mk",2005,23.5608,"MKD"
"514","mt",2005,0.699405,"EUR"
"515","nl",2005,1.09557,"EUR"
"516","no",2005,10.997,"NOK"
"517","pl",2005,2.28067,"PLN"
"518","pt",2005,0.811179,"EUR"
"519","ro",2005,1.71121,"RON"
"520","se",2005,11.5758,"SEK"
"521","si",2005,0.745084,"EUR"
"522","sk",2005,0.689618,"EUR"
"523","tr",2005,1.01918,"TRY"
"524","gb",2005,0.86413,"GBP"
"525","us",2005,1.22118,"USD"
"526","at",2004,1.07478,"EUR"
"527","be",2004,1.08733,"EUR"
"528","bg",2004,0.710232,"BGN"
"529","ch",2004,2.0708,"CHF"
"530","cy",2004,0.897986,"EUR"
"531","cz",2004,17.6578,"CZK"
"532","de",2004,1.07109,"EUR"
"533","dk",2004,10.355,"DKK"
"534","ee",2004,0.604235,"EUR"
"535","gr",2004,0.850096,"EUR"
"536","es",2004,0.937468,"EUR"
"537","fi",2004,1.19123,"EUR"
"538","fr",2004,1.14461,"EUR"
"539","hr",2004,4.90595,"HRK"
"540","hu",2004,157.142,"HUF"
"541","ie",2004,1.21319,"EUR"
"542","is",2004,114.185,"ISK"
"543","it",2004,1.0427,"EUR"
"544","jp",2004,164.326,"JPY"
"545","lt",2004,0.50679,"EUR"
"546","lu",2004,1.1643,"EUR"
"547","lv",2004,0.488792,"EUR"
"548","mk",2004,23.5767,"MKD"
"549","mt",2004,0.693107,"EUR"
"550","nl",2004,1.11115,"EUR"
"551","no",2004,11.17,"NOK"
"552","pl",2004,2.24001,"PLN"
"553","pt",2004,0.827615,"EUR"
"554","ro",2004,1.55297,"RON"
