"","geo","year","values"
"482","pt",2007,90.18
"483","ro",2007,72.76
"484","rs",2007,58.9
"485","se",2007,89.39
"486","si",2007,86.83
"487","sk",2007,86.5
"488","tr",2007,53.15
"489","gb",2007,81.8
"490","us",2007,87.26
"491","at",2006,83.97
"492","be",2006,85.54
"493","bg",2006,75.92
"494","ch",2006,98.4
"495","cy",2006,86.61
"496","cz",2006,83.9
"497","de",2006,87.4
"498","dk",2006,86.7
"499","ee",2006,73.24
"500","gr",2006,86
"501","es",2006,86.65
"502","fi",2006,83.33
"503","fr",2006,88.58
"504","hr",2006,82.77
"505","hu",2006,72.37
"506","ie",2006,94.6
"507","is",2006,59.66
"508","it",2006,85.6
"509","lt",2006,74.83
"510","lu",2006,84.26
"511","lv",2006,72.09
"512","mk",2006,83.22
"513","mt",2006,85.49
"514","nl",2006,87.12
"515","no",2006,84.8
"516","pl",2006,81.6
"517","pt",2006,88.46
"518","ro",2006,69.28
"519","rs",2006,55.5
"520","se",2006,88.32
"521","si",2006,83.92
"522","sk",2006,85.44
"523","tr",2006,49.49
"524","gb",2006,80.4
"525","us",2006,86.01
"526","at",2005,82.26
"527","be",2005,83.59
"528","bg",2005,70.95
"529","ch",2005,97.1
"530","cy",2005,84.29
"531","cz",2005,81.8
"532","de",2005,85.9
"533","dk",2005,85
"534","ee",2005,69.77
"535","gr",2005,83.13
"536","es",2005,83.5
"537","fi",2005,82.25
"538","fr",2005,86.75
"539","hr",2005,80.24
"540","hu",2005,69.13
"541","ie",2005,91.8
"542","is",2005,55.73
"543","it",2005,83.7
"544","lt",2005,71.8
"545","lu",2005,81.72
"546","lv",2005,67.5
"547","mk",2005,79.66
"548","mt",2005,83.03
"549","nl",2005,85.52
"550","no",2005,83.1
"551","pl",2005,80.2
"552","pt",2005,86.13
"553","ro",2005,65.32
"554","se",2005,86.96
"555","si",2005,81.36
"556","sk",2005,81.39
"557","tr",2005,44.94
"558","gb",2005,78.4
"559","us",2005,82.72
"560","at",2004,80.75
"561","be",2004,81.27
"562","bg",2004,66.17
"563","cy",2004,83.07
"564","cz",2004,80.7
