"","currency","year","values"
"517","MKD",2008,61.1801
"518","MXN",2008,15.1269
"519","MYR",2008,4.9843
"520","NOK",2008,7.9723
"521","NZD",2008,2.1097
"522","PHP",2008,67.307
"523","PLN",2008,3.292
"524","RON",2008,3.5271
"525","RSD",2008,76.5517
"526","RUB",2008,36.2502
"527","SEK",2008,9.3984
"528","SGD",2008,2.1024
"529","THB",2008,50.6971
"530","TRY",2008,1.7669
"531","TWD",2008,46.723
"532","USD",2008,1.4975
"533","ZAR",2008,11.468
"534","ALL",2007,122.1
"535","ARS",2007,4.2965
"536","AUD",2007,1.6442
"537","BAM",2007,1.95583
"538","BGN",2007,1.9558
"539","BRL",2007,2.6735
"540","CAD",2007,1.442
"541","CHF",2007,1.6383
"542","CNY",2007,10.3162
"543","CZK",2007,27.86
"544","DKK",2007,7.4429
"545","DZD",2007,94.67
"546","EGP",2007,7.71
"547","GBP",2007,0.67766
"548","HKD",2007,10.6469
"549","HRK",2007,7.3161
"550","HUF",2007,255.2
"551","IDR",2007,12765.65
"552","ILS",2007,5.7547
"553","INR",2007,55.4819
"554","ISK",2007,88.46
"555","JPY",2007,159.05
"556","KRW",2007,1273.37
"557","MAD",2007,11.21
"558","MKD",2007,61.1712
"559","MXN",2007,15.0491
"560","MYR",2007,4.7457
"561","NOK",2007,7.9735
"562","NZD",2007,1.8786
"563","PHP",2007,62.862
"564","PLN",2007,3.8116
"565","RON",2007,3.2246
"566","RSD",2007,80.0703
"567","RUB",2007,34.9211
"568","SEK",2007,9.3231
"569","SGD",2007,2.0744
"570","THB",2007,43.3372
"571","TRY",2007,1.7921
"572","TWD",2007,44.902
"573","USD",2007,1.3622
"574","ZAR",2007,9.8391
"575","ALL",2006,122.34
"576","ARS",2006,3.9448
"577","AUD",2006,1.6788
"578","BAM",2006,1.95583
"579","BGN",2006,1.9558
"580","BRL",2006,2.7635
"581","CAD",2006,1.4338
"582","CHF",2006,1.5775
"583","CNY",2006,10.2141
"584","CZK",2006,28.194
"585","DKK",2006,7.4609
"586","DZD",2006,93.34
"587","EGP",2006,7.36
"588","GBP",2006,0.67669
"589","HKD",2006,9.9627
"590","HRK",2006,7.2893
"591","HUF",2006,274.41
"592","IDR",2006,11649.96
"593","ILS",2006,5.6111
"594","INR",2006,59.5794
"595","ISK",2006,90.08
"596","JPY",2006,148.53
"597","KRW",2006,1231.42
"598","MAD",2006,11.08
"599","MKD",2006,61.1704
"600","MXN",2006,13.9359
"601","MYR",2006,4.7078
"602","NOK",2006,7.992
"603","NZD",2006,2.022
"604","PHP",2006,65.712
"605","PLN",2006,3.9046
"606","RON",2006,3.5271
"607","RSD",2006,82.8893
"608","RUB",2006,34.2755
"609","SEK",2006,9.2098
"610","SGD",2006,2.0185
"611","THB",2006,48.1923
"612","TRY",2006,1.8802
"613","TWD",2006,42.008
"614","USD",2006,1.2811
"615","ZAR",2006,8.9034
"616","ALL",2005,121.94
"617","ARS",2005,3.5378
"618","AUD",2005,1.6144
"619","BAM",2005,1.95583
"620","BGN",2005,1.9557
"621","BRL",2005,2.9018
"622","CAD",2005,1.4819
"623","CHF",2005,1.5528
"624","CNY",2005,9.9589
"625","CZK",2005,29.594
"626","DKK",2005,7.4596
"627","DZD",2005,89.71
"628","GBP",2005,0.68527
"629","HKD",2005,9.5529
"630","HRK",2005,7.3684
"631","HUF",2005,244.49
"632","IDR",2005,12283.08
"633","ILS",2005,5.5446
"634","INR",2005,53.6126
"635","ISK",2005,78.37
"636","JPY",2005,135.98
"637","KRW",2005,1255.33
"638","MAD",2005,11.01
"639","MKD",2005,61.2336
"640","MXN",2005,13.1376
"641","MYR",2005,4.6216
"642","NOK",2005,7.9165
"643","NZD",2005,1.7675
"644","PHP",2005,68.768
"645","PLN",2005,4.0436
"646","RON",2005,3.5034
"647","RSD",2005,83.9965
"648","RUB",2005,35.0119
"649","SEK",2005,9.3398
"650","SGD",2005,2.0439
"651","THB",2005,50.6038
"652","TRY",2005,1.6534
"653","TWD",2005,39.458
"654","USD",2005,1.2292
"655","ZAR",2005,7.9508
"656","ALL",2004,124.97
"657","ARS",2004,3.6731
"658","AUD",2004,1.7147
"659","BAM",2004,1.95583
"660","BGN",2004,1.9559
"661","BRL",2004,3.6621
"662","CAD",2004,1.6007
"663","CHF",2004,1.5387
"664","CNY",2004,10.083
"665","CZK",2004,31.634
"666","DKK",2004,7.4365
"667","DZD",2004,87.98
"668","GBP",2004,0.66942
"669","HKD",2004,9.4968
"670","HRK",2004,7.3691
"671","HUF",2004,248.85
"672","IDR",2004,11265.84
"673","ILS",2004,5.5223
"674","INR",2004,56.3699
"675","ISK",2004,87.08
"676","JPY",2004,134.54
"677","KRW",2004,1409.37
"678","MAD",2004,10.99
"679","MKD",2004,61.2927
"680","MXN",2004,13.8721
"681","MYR",2004,4.6274
"682","NOK",2004,8.3315
"683","NZD",2004,1.8604
"684","PHP",2004,68.017
"685","PLN",2004,4.431
"686","RON",2004,4.0946
"687","RSD",2004,73.2216
"688","RUB",2004,35.5859
"689","SEK",2004,9.1861
"690","SGD",2004,2.0886
"691","THB",2004,50.548
"692","TRY",2004,1.7999
"693","TWD",2004,41.542
"694","USD",2004,1.2176
"695","ZAR",2004,7.8526
"696","ALL",2003,133.66
"697","ARS",2003,3.2558
"698","AUD",2003,1.7114
"699","BAM",2003,1.95583
"700","BGN",2003,1.9463
"701","BRL",2003,3.3452
"702","CAD",2003,1.557
"703","CHF",2003,1.54
"704","CNY",2003,9.2195
"705","CZK",2003,32.287
"706","DKK",2003,7.4322
"707","DZD",2003,86.43
"708","GBP",2003,0.69919
"709","HKD",2003,8.6873
"710","HRK",2003,7.5133
"711","HUF",2003,259.56
"712","IDR",2003,9482.31
"713","ILS",2003,4.9596
"714","INR",2003,51.1332
"715","ISK",2003,88.79
"716","JPY",2003,132.38
"717","KRW",2003,1312.67
"718","MAD",2003,10.8
"719","MKD",2003,61.1964
"720","MXN",2003,12.004
"721","MYR",2003,4.2331
"722","NOK",2003,8.2558
"723","NZD",2003,1.9137
"724","PHP",2003,61.272
"725","PLN",2003,4.3699
"726","RON",2003,3.7166
"727","RSD",2003,65.2035
"728","RUB",2003,33.8234
"729","SEK",2003,9.2378
"730","SGD",2003,1.9531
"731","THB",2003,46.4124
"732","TRY",2003,1.5642
"733","TWD",2003,38.247
"734","USD",2003,1.1139
"735","ZAR",2003,8.2375
"736","ALL",2002,135.01
"737","ARS",2002,3.544
"738","AUD",2002,1.8045
"739","BAM",2002,1.95583
"740","BGN",2002,1.9468
"741","BRL",2002,3.0461
"742","CAD",2002,1.5333
"743","CHF",2002,1.4636
"744","CNY",2002,8.0929
"745","CZK",2002,30.796
"746","DKK",2002,7.427
"747","DZD",2002,77.93
"748","GBP",2002,0.63633
"749","HKD",2002,7.6265
"750","HRK",2002,7.3767
"751","HUF",2002,245.3
"752","IDR",2002,8726.76
"753","ILS",2002,4.5713
"754","INR",2002,47.4844
"755","ISK",2002,84.22
"756","JPY",2002,116.31
"757","KRW",2002,1167.08
"758","MAD",2002,10.48
"759","MKD",2002,60.9757
"760","MXN",2002,9.6141
"761","MYR",2002,3.7158
"762","NOK",2002,7.4284
"763","NZD",2002,2.1076
"764","PHP",2002,50.673
"765","PLN",2002,4.0836
"766","RON",2002,3.2344
"767","RSD",2002,60.9231
"768","RUB",2002,30.8868
"769","SEK",2002,9.2489
"770","SGD",2002,1.7164
"771","THB",2002,41.2441
"772","TRY",2002,1.6026
"773","TWD",2002,33.221
"774","USD",2002,0.9778
"775","ZAR",2002,10.3591
"776","ALL",2001,128.87
"777","ARS",2001,0.9
"778","AUD",2001,1.7169
"779","BAM",2001,1.95583
"780","BGN",2001,1.9472
"781","BRL",2001,2.2588
"782","CAD",2001,1.3857
"783","CHF",2001,1.5144
"784","CNY",2001,7.4533
"785","CZK",2001,34.05
"786","DKK",2001,7.445
"787","DZD",2001,68.9
"788","GBP",2001,0.62672
"789","HKD",2001,7.0236
"790","HRK",2001,7.5083
"791","HUF",2001,251.02
"792","IDR",2001,8071.74
"793","ILS",2001,3.8122
"794","INR",2001,42.4362
"795","ISK",2001,88.7
"796","JPY",2001,109.34
"797","KRW",2001,1153.99
"798","MAD",2001,10.28
"799","MKD",2001,60.9469
"800","MXN",2001,8.2222
"801","MYR",2001,3.4222
"802","NOK",2001,8.0552
"803","NZD",2001,2.0895
"804","PHP",2001,46.666
"805","PLN",2001,3.8243
"806","RON",2001,2.6846
"807","RSD",2001,59.6018
"808","RUB",2001,26.4478
"809","SEK",2001,9.3107
"810","SGD",2001,1.5855
"811","THB",2001,40.4208
"812","TRY",2001,1.2658
"813","TWD",2001,31.169
"814","USD",2001,0.9005
"815","ZAR",2001,7.4823
"816","ALL",2000,129.88
"817","ARS",2000,0.9038
"818","AUD",2000,1.5575
"819","BAM",2000,1.95583
"820","BGN",2000,1.9462
"821","BRL",2000,1.634
"822","CAD",2000,1.3406
"823","CHF",2000,1.5506
"824","CNY",2000,7.4829
"825","CZK",2000,35.356
"826","DKK",2000,7.4578
"827","DZD",2000,69.11
"828","GBP",2000,0.6071
